team,squad_value_eur
France,1520000000.0
England,1360000000.0
Spain,1220000000.0
Portugal,1010000000.0
Germany,947000000.0
Brazil,928200000.0
Argentina,807500000.0
Netherlands,754200000.0
Norway,589900000.0
Belgium,547500000.0
Ivory Coast,522100000.0
Senegal,478100000.0
Turkey,473700000.0
Morocco,447700000.0
Sweden,406080000.0
Croatia,387300000.0
United States,385650000.0
Ecuador,368700000.0
Uruguay,359300000.0
Switzerland,332500000.0
Colombia,302350000.0
Japan,270850000.0
Algeria,256899999.99999997
Austria,245200000.0
Ghana,234350000.0
Canada,198650000.0
Mexico,191850000.0
Czech Republic,188180000.0
Scotland,170250000.0
Paraguay,153650000.0
Bosnia and Herzegovina,146400000.0
DR Congo,143900000.0
South Korea,139050000.0
Egypt,116480000.0
Uzbekistan,85330000.0
Australia,77450000.0
Tunisia,69950000.0
Haiti,55900000.0
Cape Verde,54500000.0
South Africa,49250000.0
Saudi Arabia,40680000.0
Panama,34550000.0
New Zealand,34300000.0
Iran,32049999.999999996
Curaçao,25780000.0
Iraq,21200000.0
Jordan,20300000.0
Qatar,19930000.0
Denmark,365000000.0
Italy,315700000.0
Greece,275600000.0
Georgia,260600000.00000003
Ukraine,247000000.0
Russia,242700000.0
Poland,231600000.0
Serbia,209500000.0
Hungary,209200000.0
Cameroon,198700000.0
Wales,180650000.0
Nigeria,172050000.0
Kosovo,147450000.0
Republic of Ireland,146850000.0
Mali,116550000.0
Burkina Faso,110500000.0
Slovenia,100500000.0
Iceland,89100000.0
Albania,88800000.0
Northern Ireland,79900000.0
Venezuela,79000000.0
Gambia,78780000.0
Guinea,74130000.0
Montenegro,69430000.0
Israel,68100000.0
