game_id,match_date,match,market,code,segment,system,selection,american,decimal,model_p,fair_p,ev,snapshot_time
760443,2026-06-20,Turkey v Paraguay,Match Result,A,MR:A,,Paraguay,320.0,4.2,0.2802,0.2279714790344737,0.1767,2026-06-17T17:00:06Z
760443,2026-06-20,Turkey v Paraguay,Total Goals,over@2.5,TG:over,,Over 2.5,110.0,2.1,0.533,0.4532304725168756,0.1193,2026-06-17T17:00:06Z
760494,2026-07-02,United States v Bosnia and Herzegovina,Total Goals,over@2.5,TG:over,,Over 2.5,-125.0,1.8,0.661,0.5263157894736842,0.1898,2026-06-29T04:46:35Z
760497,2026-07-02,Spain v Austria,Match Result,D,MR:D,,Draw,425.0,5.25,0.2051,0.183066361556064,0.077,2026-06-30T04:13:04Z
760497,2026-07-02,Spain v Austria,Match Result,A,MR:A,,Austria,900.0,10.0,0.1071,0.0961098398169336,0.0711,2026-06-30T04:13:04Z
760497,2026-07-02,Spain v Austria,Spread,cover_away@-1.5,SP:away,,Austria +1.5,-120.0,1.8333333333333333,0.6258,0.5157232704402516,0.1473,2026-06-30T04:13:04Z
760496,2026-07-02,Portugal v Croatia,Match Result,A,MR:A,,Croatia,400.0,5.0,0.2325,0.192457588262265,0.1627,2026-06-30T04:13:04Z
760496,2026-07-02,Portugal v Croatia,Total Goals,over@2.5,TG:over,,Over 2.5,105.0,2.05,0.5526,0.4632426988922457,0.1328,2026-06-30T04:13:04Z
760498,2026-07-03,Switzerland v Algeria,Match Result,A,MR:A,,Algeria,290.0,3.9,0.2838,0.247588424437299,0.1067,2026-06-30T04:13:04Z
760498,2026-07-03,Switzerland v Algeria,Total Goals,over@2.5,TG:over,,Over 2.5,115.0,2.15,0.5214,0.4436229205175601,0.121,2026-06-30T04:13:04Z
760499,2026-07-03,Australia v Egypt,Match Result,H,MR:H,,Australia,230.0,3.3,0.5095,0.2891902672516953,0.6814,2026-07-01T04:41:31Z
760499,2026-07-03,Australia v Egypt,Total Goals,under@1.5,TG:under,,Under 1.5,135.0,2.35,0.4474,0.4032860343539955,0.0514,2026-07-01T04:41:31Z
760499,2026-07-03,Australia v Egypt,Spread,cover_home@0.5,SP:home,,Australia +0.5,-175.0,1.5714285714285714,0.8101,0.60431654676259,0.273,2026-07-01T04:41:31Z
760500,2026-07-03,Argentina v Cape Verde,Total Goals,under@2.5,TG:under,,Under 2.5,120.0,2.2,0.4945,0.4310344827586206,0.0879,2026-07-01T04:41:31Z
760501,2026-07-04,Colombia v Ghana,Match Result,H,MR:H,,Colombia,-190.0,1.526315789473684,0.7928,0.6288053505535055,0.21,2026-07-01T04:41:31Z
760501,2026-07-04,Colombia v Ghana,Total Goals,over@2.5,TG:over,,Over 2.5,125.0,2.25,0.652,0.4223602484472049,0.467,2026-07-01T04:41:31Z
760501,2026-07-04,Colombia v Ghana,Spread,cover_home@-1.5,SP:home,,Colombia -1.5,155.0,2.55,0.5714,0.372357210476491,0.4571,2026-07-01T04:41:31Z
