group,n_features,rps_without,rps_delta
elo,4,0.1834425984746433,0.010002833685492735
head_to_head,3,0.17382970520242286,0.0003899404132722828
context,3,0.1736248309827061,0.00018506619355551646
travel,3,0.1735271018773714,8.733708822081243e-05
altitude,1,0.17345269309681272,1.2928307662141147e-05
form,3,0.17345026283119652,1.049804204594773e-05
market_value,3,0.17343976478915057,0.0
motivation,12,0.17343976478915057,0.0
rest,3,0.1733358964169796,-0.00010386837217096767
xg_style,6,0.17330941910730444,-0.00013034568184613904
