feature,gain,perm_rps_delta
elo_exp_home,0.49755601475512495,0.0461116245989033
elo_diff,0.12666441472106388,0.002324565416263434
home_travel_km,0.014014996819150857,0.002018593306007524
h2h_home_gd,0.042582485631045205,0.001164127287676217
home_ga_20,0.02461551500538631,0.0005256108002167567
away_ga_20,0.025687373245633763,0.0003223352473673072
neutral,0.007705258964222862,0.0002726766978248668
away_ppg_20,0.011031360008644592,0.00025424047962115115
home_ga_10,0.014389202148624613,0.00024291538848849464
ppg_diff_20,0.024572451946929922,0.00018927833406988392
importance,0.018815451446098672,0.0001828700684217005
travel_diff_km,0.014779103295259494,0.00015922167499261147
away_travel_km,0.016875801831659435,0.00015682847528242227
home_ga_5,0.007682561972449047,0.00013191546918787933
home_elo,0.012331843978685503,0.00011408711937491156
h2h_n_prev,0.005656797725004664,0.00010808801414848024
cross_conf,0.001789915723077669,0.00010164487466636507
away_elo,0.020715647761675123,7.422901783393776e-05
home_xgf,0.000268366309291668,5.750176267580592e-05
away_gf_20,0.008083973118082679,5.3339539098411215e-05
venue_altitude_m,0.002760108207845715,5.284778412486396e-05
away_ppg_10,0.004952132055240986,5.082015001641599e-05
home_gf_20,0.008853081835973265,4.482665756668641e-05
away_gf_10,0.004326968822299248,4.4416711497199945e-05
home_ppg_5,0.002513122029931783,3.568340139706999e-05
home_xga,0.00016215776618083342,3.180420987917293e-05
home_ppg_10,0.003214808270284226,1.4410173137149873e-05
home_gf_5,0.0041190356769767915,1.3284717023144543e-05
away_gf_5,0.0038715077055233365,1.2121296918271574e-05
away_ga_5,0.011217739877742498,1.2092051192270914e-05
home_rest_days,0.00360011479368857,2.9397980206777308e-06
ppg_diff_10,0.004530377356002336,2.3454619417356826e-06
xg_attack_vs_defense,4.3077490473880925e-05,1.8647117479703157e-06
away_ppg_5,0.0033801211468323746,8.686687631986878e-07
ppg_diff_5,0.0030017109721911287,7.574329462106677e-07
away_draw_enough,0.0,0.0
home_already_q,0.0,0.0
away_already_q,0.0,0.0
home_draw_enough,0.0,0.0
home_eliminated,0.0,0.0
away_eliminated,0.0,0.0
home_gd_incentive,0.0,0.0
away_gd_incentive,0.0,0.0
away_needs_win,0.0,0.0
home_needs_win,0.0,0.0
is_final_group_match,0.0,0.0
dead_rubber,0.0,0.0
squad_value_log_diff,0.0,0.0
away_squad_value_log,0.0,0.0
home_squad_value_log,0.0,0.0
xg_rating_diff,2.0547227359142352e-05,-1.4892686836312508e-06
rest_diff,0.0056168200063566424,-3.7359678359688564e-06
away_xgf,0.00036256494034412045,-1.551044386267908e-05
away_rest_days,0.006630771840347751,-1.723649232265173e-05
h2h_home_points,0.010281900347050845,-1.8992991364569223e-05
home_ppg_20,0.005268265708109008,-2.2593614359599223e-05
home_gf_10,0.005660743109886837,-5.190834832676655e-05
away_xga,0.0005897316676589172,-7.822170257890809e-05
away_ga_10,0.009204054738588855,-0.0001100949863168249
