bin,mean_predicted,observed_freq,n
0.0-0.1,0.07645209166117341,0.1,50
0.1-0.2,0.16275175540699818,0.2523364485981308,428
0.2-0.3,0.26011201805600914,0.3469591226321037,2006
0.3-0.4,0.35464261602787733,0.406479217603912,4908
0.4-0.5,0.4469654732341958,0.44547996272134205,5365
0.5-0.6,0.5423114265018995,0.4806496199032481,2894
0.6-0.7,0.6397047691763389,0.5180722891566265,830
0.7-0.8,0.7350019828409274,0.5402843601895735,211
0.8-0.9,0.8431376684383844,0.6440677966101694,59
0.9-1.0,0.9345781502686555,0.5714285714285714,7
