bin,mean_predicted,observed_freq,n
0.0-0.1,0.049840976995878326,0.07808946171341925,1319
0.1-0.2,0.15321406766805395,0.18934568616097278,1727
0.2-0.3,0.2516671371300285,0.2907509157509158,2184
0.3-0.4,0.3494311825243097,0.37570744449281673,2297
0.4-0.5,0.44962127838187177,0.4783540505786541,2333
0.5-0.6,0.548943293800918,0.5902048975512244,2001
0.6-0.7,0.6495231459214551,0.6774573278399059,1699
0.7-0.8,0.7485313148838192,0.7678958785249458,1383
0.8-0.9,0.8491452104336012,0.8364717542120912,1009
0.9-1.0,0.9526840961341531,0.9292803970223326,806
