system,verdict,big_n,big_roi%,big_ci,big_kelly_u,rel_clv%,oot2019-22_roi%,wc2022_roi%,wc2022_n
odds dog 2.5-4,variance — fails family-wise,224,24.5,"[+4,+45]",158.7,-0.4,11.8,16.0,25.0
side:MR:D,noise,135,20.9,"[-13,+55]",1.5,-0.4,25.4,3.9,19.0
EV 50%+,noise,103,20.5,"[-10,+53]",65.1,1.3,27.0,98.8,6.0
side:MR:A,variance — fails family-wise,215,20.3,"[+1,+40]",122.0,0.4,30.5,0.5,14.0
combo away-dog (MR:A & dec>=2.5),noise,122,18.0,"[-14,+49]",33.2,-0.3,27.8,2.0,10.0
conf model<40%,noise,389,16.4,"[-2,+36]",54.3,-0.7,9.3,-31.3,34.0
market:Match Result,variance — fails family-wise,719,15.8,"[+4,+28]",484.0,0.4,17.2,-15.0,56.0
combo model-backs-underdog (bet dec>=2.5),variance — fails family-wise,501,15.7,"[+0,+32]",187.6,-0.4,12.0,-19.8,47.0
combo high-EV pickem (EV>=10% & 2<=dec<3),variance — fails family-wise,552,11.7,"[+3,+21]",333.7,-0.1,4.0,-9.4,52.0
side:MR:H,noise,369,11.2,"[-2,+26]",360.5,0.6,7.5,-40.2,23.0
tier:major,noise,328,8.7,"[-5,+23]",46.7,-0.0,3.8,-6.1,156.0
EV 25-50%,noise,497,8.7,"[-3,+21]",244.8,-0.2,9.4,-24.2,50.0
odds 4+,noise,277,8.6,"[-15,+34]",28.8,-0.4,12.2,-60.5,22.0
edge 2-5%,noise,245,8.5,"[-13,+30]",-2.7,-1.3,-6.1,-20.0,28.0
odds pickem 2-3,noise,830,6.1,"[-2,+14]",311.7,-0.3,1.0,-8.5,64.0
tier:other,noise,337,4.0,"[-9,+17]",159.2,-0.4,-5.5,,
edge 5-10%,noise,925,3.7,"[-4,+11]",114.8,0.1,3.0,-2.5,54.0
ALL,noise,2355,3.6,"[-1,+8]",246.1,0.0,5.4,-6.1,156.0
EV 3-10%,noise,833,3.3,"[-4,+11]",42.5,-0.2,-3.2,23.5,40.0
conf model 40-55%,noise,536,2.9,"[-7,+13]",207.3,0.2,1.1,-9.5,38.0
tier:qualifier,noise,1690,2.5,"[-3,+8]",40.3,0.0,9.8,,
edge 10%+,noise,1184,2.4,"[-4,+9]",132.0,0.4,9.3,-3.4,74.0
side:TG:over,noise,415,1.8,"[-9,+13]",-37.4,-0.6,-7.9,1.9,18.0
odds 1.8-2.5,noise,1180,1.4,"[-5,+7]",41.9,0.2,2.8,-4.7,92.0
market:Total Goals,noise,786,0.7,"[-7,+8]",-36.1,-0.7,-5.4,-14.0,46.0
conf model 55%+,noise,1430,0.3,"[-5,+5]",-15.5,0.3,5.9,6.1,84.0
side:TG:under,noise,371,-0.6,"[-11,+9]",1.3,-1.0,-2.8,-24.2,28.0
EV 10-25%,noise,922,-0.8,"[-8,+6]",-106.3,0.2,5.0,-21.5,60.0
odds fav<1.8,noise,674,-1.6,"[-8,+4]",16.7,0.4,2.3,24.9,17.0
combo fav+edge (dec<2 & edge>=5%),noise,1103,-3.7,"[-9,+1]",-220.4,0.6,5.5,13.3,54.0
side:SP:away,noise,374,-3.8,"[-14,+5]",-138.6,,12.3,-3.1,35.0
market:Spread,noise,850,-4.1,"[-10,+2]",-201.8,,5.3,11.3,54.0
side:SP:home,noise,476,-4.3,"[-13,+4]",-63.2,,-1.6,34.9,19.0
